,product,reviewid,thumbsup,thumbsdown,shortreview,longreview,pros,cons,link
208,2019 Honda Accord,Raed,1,1,"""Great car""","I bought that car(accord lx) I didn’t expect all of that : good power engine ,very good gas mileage 30/38 , safety (honda sensing) ,comfort, beautiful design, combative price.",Funny,Quite engine,https://www.kbb.com//honda/accord/2019/consumer-reviews/
209,2019 Honda Accord,NA,NA,NA,NA,NA,Funny,Quite engine,https://www.kbb.com//honda/accord/2019/consumer-reviews/
210,2019 Honda Accord,Black Lemon Owner,12,3,"""Worse Car""","I purchased this new 2018 Honda Accord 2.0T EX-L in January 2019 and have had nothing but trouble with it.  The radio system randomly turns off and restarts on its own.  While repositioning the car in the garage, it displayed a warning to ""Shift to Park"" for no reason.  The road departure mitigation/lane departure warning/shaking of the steering wheel will randomly activate when the car is centered in the driving lane.  The brake assist/collision avoidance has randomly activated when nothing is in front of the car.  Two batteries had to be replaced in the first 3 months.  The lane keep assist system will randomly steer the car off the road.  The speed limit display on the dash board displays incorrect speed limits, like 80 or 100 MPH in 40 or 60 MPH zones.  I have taken this car to two different dealers to get these issues resolve and they will not fix them because they claim there is no error codes.  Photos and videos of issues have been provided to dealers and American Honda Motors.Read less",Good engine,Poor reliability,https://www.kbb.com//honda/accord/2019/consumer-reviews/
211,2019 Honda Accord,NA,NA,NA,NA,NA,Good engine,Poor reliability,https://www.kbb.com//honda/accord/2019/consumer-reviews/
212,2019 Honda Accord,Steve,9,2,"""Very dissapointed""",,NA,NA,https://www.kbb.com//honda/accord/2019/consumer-reviews/
213,2019 Honda Accord,SDL,3,0,"""Best Sedan on the Market""","I purchased this car over a year ago and it is amazing the way it drives.  I love the style of the car.  There is plenty of room inside especially in the back.  It is smooth riding and it has the power for being a 4 cylinder.  It looks like a luxury vehicle inside.  The cup holders are nice and big and the compartment in the center is wide enough for two arms.  The speakers sound better with blue tooth rather than listening to the radio.  The front seat is low, but with a memory foam cushion it feels just right.  Honda makes a very reliable and fuel efficient car!!!Read less","Fun to Drive, Very Roomy Inside",Low Seating,https://www.kbb.com//honda/accord/2019/consumer-reviews/
214,2019 Honda Accord,NA,NA,NA,NA,NA,"Fun to Drive, Very Roomy Inside",Low Seating,https://www.kbb.com//honda/accord/2019/consumer-reviews/
215,2019 Honda Accord,Desert Rat,1,0,"""My forth and best Accord""","I have owned 3 previous generation Accords (2004,2009,2015), and this 2018 EX-L (1.5T) is by far the best.  
This vehicle is fairly quick, plus gets fantastic fuel economy - total recorded average of 38.1 mpg (60% city).  Great compromise between comfort and sporty handling, with a few trips up winding mountain roads to prove it. Not only does it handle the switchbacks, the 1.5T is unaffected by the 9000 ft elevation, and the refined CVT does not continually hunt for the right 'gear'.   
As for the safety suite, I have mixed feelings.  The Lane Keep is not as accurate or consistent as other brands.  Adaptive Cruise is OK but takes getting used to.
Wind noise is very low, but I do have some buzz, squeaks and rattles in dash.Read less","Great power, handling and fuel economy.",Safety suite could be refined. Some rattles.,https://www.kbb.com//honda/accord/2019/consumer-reviews/
216,2019 Honda Accord,NA,NA,NA,NA,NA,"Great power, handling and fuel economy.",Safety suite could be refined. Some rattles.,https://www.kbb.com//honda/accord/2019/consumer-reviews/
217,2019 Honda Accord,Long Commutes,3,0,"""One of the best values on the road""","I've had my 2018 Accord Sport for a year now. I commute 160 miles each day so I'm  already approaching 40K miles. I've had many Honda's and enjoyed them all, but this is the first one to feel like I got a lot more car for the money. I get bored with cars easily, but a year later I can't imagine ever replacing this. The quality of the finish inside and out was reminiscent of my wife's Mercedes ML350. The dash layout and infotainment are finally updated and look on par with the best out there. The seats are firm but comfortable most of the time. Back seat leg room is huge! 

When selecting the Accord, I knew I was going to put a ton of miles on it, so MPG and cost of maintenance was important. The Sport is rated at 35MPG highway, and I routinely exceed 40+. Services have been reasonably priced and have come approx every 10K miles. The only item that will cost me soon is replacing the tires. Being 19"" rims and low profile, I anticipate spending upwards of $1000.  My only real complaint is that there is A LOT of road noise. I'm hoping a good quality set of replacement tires will help that. I've had a few issues with the Apple CarPlay that the dealer hasn't been able to fix so I've just lived with it. It's missing a couple of key features like remote start and blind spot monitor, but I discovered if you buy a Honda remote with the remote start button on it and have it programmed to your vehicle, remote start will function. 

Bottom line: I've driven a lot of cars in this class and the Accord is by far the best. It's almost on par with European cars that are $20K more. It's comfy, fast, stylish and yet practical. 40K miles later and I still look forward to getting in it every morning.Read less","MPG, Style, Value, Comfort, Driving Dynamics",Lots of road noise. Fussy Apple CarPlay,https://www.kbb.com//honda/accord/2019/consumer-reviews/
218,2019 Honda Accord,NA,NA,NA,NA,NA,"MPG, Style, Value, Comfort, Driving Dynamics",Lots of road noise. Fussy Apple CarPlay,https://www.kbb.com//honda/accord/2019/consumer-reviews/
219,2019 Honda Accord,Peteway,2,0,"""Return Honda customer""","I was a little at first reluctant to go back to Honda especially with the problems I had with my 2015 Acura TL. My TL had mechanical issues with it not starting and Honda/Acura basically told me take it or leave and would not replace it. Anyway here I am in another Honda product 2018 Honda Acord 1.5 Touring. So far this vehicle has had no issues to really complain about. The only thing is with the low profile tires the ride can get a little rough. Everything else about this vehicle so far I like, so we'll see how this plays out this time around. So far I've had it just over 1 year.Read less",Looks and reliability,Rough ride due to low profile tires,https://www.kbb.com//honda/accord/2019/consumer-reviews/
220,2019 Honda Accord,NA,NA,NA,NA,NA,Looks and reliability,Rough ride due to low profile tires,https://www.kbb.com//honda/accord/2019/consumer-reviews/
221,2019 Honda Accord,MG,3,0,"""computer glitches and bugs""","Love the car, but have had to take it in 3-4 times with computer malfunctions.
Handles and drives well. With 2.0 engine, it is very quick. I have had a lot of compliments about the car’s styling.","Styling, acceleration, mileage, handling",Computer bugs,https://www.kbb.com//honda/accord/2019/consumer-reviews/
222,2019 Honda Accord,NA,NA,NA,NA,NA,"Styling, acceleration, mileage, handling",Computer bugs,https://www.kbb.com//honda/accord/2019/consumer-reviews/
223,2019 Honda Accord,John the Greek,2,0,"""Overall an excellent value with a couple blips""","My Honda Accord Touring, 2019 overall is an excellent value but certainly Honda could have designed the interior cabin with better sound deadening insulation and better carpeting.  The carpet is flimsy at best;  paper thin with almost no nap as in other comparable sedans in the price range.  Very loud and invasive road surface cabin noise and it's difficult to even have a conversation at speeds over 65 mph on many interstate and toll roads.  The 19"" Michelin tires are low profile with the tread design is rated a 0 on a scale from 1 -5 for road surface noise.  5 being the quietest!Read less",Excellent acceleration and user friendly tech,Road surface noise at high speed excessive,https://www.kbb.com//honda/accord/2019/consumer-reviews/
224,2019 Honda Accord,NA,NA,NA,NA,NA,Excellent acceleration and user friendly tech,Road surface noise at high speed excessive,https://www.kbb.com//honda/accord/2019/consumer-reviews/
225,2019 Honda Accord,JB,1,0,"""Too many rattle noise.""","2019 Honda Accord EX. Drove 25,000 miles. Rattle noise from the dash, passenger side and from the rear. Had to go to the dealer a couple of times and was told they were fixed. But still hear the noise. Makes me annoying everyday.  
Now I have another noise issue from the sunshade. Bad interior finish overall.",Good fuel economy. Fun to drive.,Too many interior noise problems.,https://www.kbb.com//honda/accord/2019/consumer-reviews/
226,2019 Honda Accord,NA,NA,NA,NA,NA,Good fuel economy. Fun to drive.,Too many interior noise problems.,https://www.kbb.com//honda/accord/2019/consumer-reviews/
227,Used 2017 Audi A4,JJ,1,0,"""Best car I've ever owned, quick, quiet, great MPGs""","I test drove a lot of cars but kept coming back the the Audi A4, Consumers Reports gives it excellent reliability rating and high marks across the board. The Premium plus has excellent LED headlights, so much better than the 3 series. With the headlights on a side shining LED light turns on with the turn signals lighting up the side of the road you're turning into. The 2.0t  Engine is one of the best in the industry, it's a gem with excellent toque pulls and pulls. I get 25 MPGs in town and 39 highway, so much better than I expected. The digital dash is also excellent, you can have the GPS screen right in front of you clear and so easy to read. Sit behind the wheel and instantly you know you're in something special, start driving and everything feels right. I always tell people to drive the car you're interested at night, headlights are so important, sadly even some top brands have poor headlights. The base A4 headlights aren't as good as the Premium Plus or prestige models. Audi should put the best headlight in EVERY model . BMW 3 series makes you order the Laser Headlights as a $1000 option to get decent headlights..css-1h02fnl{-webkit-tap-highlight-color:rgba(127,159,218,.5);-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;color:#3666BD;display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;-webkit-box-pack:start;-webkit-justify-content:flex-start;-ms-flex-pack:start;justify-content:flex-start;position:relative;-webkit-transform:translateY(0);-ms-transform:translateY(0);transform:translateY(0);margin-top:8px;}.css-1h02fnl span{cursor:pointer;}.css-1h02fnl span:hover{-webkit-text-decoration:underline;text-decoration:underline;}Read less.css-1qs95sv{display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;margin:0;-webkit-transform:rotate3d(0,0,1,-180deg);-ms-transform:rotate3d(0,0,1,-180deg);transform:rotate3d(0,0,1,-180deg);-webkit-transition:-webkit-transform .5s;-webkit-transition:transform .5s;transition:transform .5s;}.css-1uff8uj-StyledIcon{color:#000000;height:19px;width:19px;fill:#3666BD;}","Top safety pick, fun sporty and high end.",The shifter takes a day or two to adjust to.,https://www.kbb.com//audi/a4/2017/consumer-reviews/
228,Used 2017 Audi A4,NA,NA,NA,NA,NA,"Top safety pick, fun sporty and high end.",The shifter takes a day or two to adjust to.,https://www.kbb.com//audi/a4/2017/consumer-reviews/
229,Used 2017 Audi A4,sddevin,3,3,"""Nice car, but huge buyer's remorse.""","This is my second A4, I traded in my 2017 lease for a new 2019 this year with a few extra features. Overall, the car has a really nice interior, strong engine, nice tech features and sound system, comfortable seating, and decent handling. I am so very sorry, however, that I leased a car from Audi in 2019, however. Just days after taking this car home I called the dealer to bring it in for service. The car seems to drift on concrete roadways, which is very unnerving. I live in southern California, where many of the freeways and other main roadways are paved in concrete. For whatever reason, the 2019 vehicles just don't stay put on the road and tend to drift left or right. This does not inspire confidence in driving the car at higher speeds, and it tends to make me not want to drive the car other than for short drives. It's such a huge disappointment for a car that costs as much as it does. The dealer has not been able to address the issue and even Audi's customer service did not offer any resolution or even apology. This will be my last Audi purchase, unfortunately I am stuck with it now for the remainder of the lease.Read less","Strong acceleration, confident braking, interior",Upsetting handling,https://www.kbb.com//audi/a4/2017/consumer-reviews/
230,Used 2017 Audi A4,NA,NA,NA,NA,NA,"Strong acceleration, confident braking, interior",Upsetting handling,https://www.kbb.com//audi/a4/2017/consumer-reviews/
231,Used 2017 Audi A4,Sol,2,1,"""Good car""",,NA,NA,https://www.kbb.com//audi/a4/2017/consumer-reviews/
232,Used 2017 Audi A4,Cindy M.,2,1,"""My Audi A4 is a dynamic car with lush interior and""",such a reliable and fast driving car.  My car performs great.  So very happy. Looking forward to trading up in 2019.,Fun to drive.,A4 just a tad small.,https://www.kbb.com//audi/a4/2017/consumer-reviews/
233,Used 2017 Audi A4,NA,NA,NA,NA,NA,Fun to drive.,A4 just a tad small.,https://www.kbb.com//audi/a4/2017/consumer-reviews/
234,Used 2017 Audi A4,dlias,7,2,"""Excellent Vehicle""","Bought this 17 A4 4/16 and absolutely love it. As the 24k  in 9 months can attest i drive a lot of highway miles. At highway speeds this thing is so quite it gives you the false impression that you are not going as fast as you are. Several times in the first few months i looked down and saw i was pushing 90+ mph and quickly slowed down. I did find there is a way to set a warning when you pass a certain speed and it will alert you.
On curvy roads it is even better as it takes just about anything you can throw at it with predictability, and youd have to do something pretty stupid to get this thing sideways as it tracks right where you point it and the quattro gives unbelievable grip.
Fit and finish are top notch and even after all these miles i still grin as i head toward this car for a long drive and fire up the virtual cockpit for my next adventure.
Although decidedly skewed towards highway miles my lifetime mpg is 33 mpg which is 2 greater than stated on the Monroney sticker.

Added together, the quality feel, smooth quiet ride, good fuel economy, sporty 5.7 seconds to 60 and sticky handling there is simply no way to go wrongRead less","Awesome interior/seats, so quiet and fast",cup holders under the ac switches,https://www.kbb.com//audi/a4/2017/consumer-reviews/
235,Used 2017 Audi A4,NA,NA,NA,NA,NA,"Awesome interior/seats, so quiet and fast",cup holders under the ac switches,https://www.kbb.com//audi/a4/2017/consumer-reviews/
236,Used 2017 Audi A4,AudiDoesntCareAn...,7,3,"""A great ride, some features malfunction easily.""","Ive been driving Audis since 2005. Somehow the older cars feel more solid and better than the new one. 
I understand that with so many gadgets the car can have some misses, but the basic Apple Carplay that should connect your iPhone to the MMI simply does not work. My car is about 3 weeks old and this happens. I contact the AudiUSA for support and after a couple of weeks worth of the usual, can you use other usb cable, try another usb port, is your phone updated, or try another phone... The final verdict is that I MUST take my car to a dealership to have it fixed or taken look at.
How ridiculous is this, Audi?Read less",Interior is nice,Extra options not worth,https://www.kbb.com//audi/a4/2017/consumer-reviews/
237,Used 2017 Audi A4,NA,NA,NA,NA,NA,Interior is nice,Extra options not worth,https://www.kbb.com//audi/a4/2017/consumer-reviews/
238,Used 2017 Audi A4,Ivan,3,0,"""Great dar overall""",,NA,NA,https://www.kbb.com//audi/a4/2017/consumer-reviews/
239,Used 2017 Audi A4,Patrick D,20,5,"""Mostly happy so far""","The ride is great compared to my Honda Accord V6.  Lots of power and gets up to highway speeds very quickly.  Sits a little to low for me since I am 6 foot 3 which makes getting out sort of a pain.  Perfect for my wife at 5 foot 6.  Visibility is very good and trunk space is great.  Love the LED headlights and safety features. Hesitation on low speed acceleration. One thing that bothers me a lot is that it appears to use a quart of oil before the 10,000 mile service level comes due.  My guess it will only get worse over time.    If it does, I would likely sell it and avoid Audi in the future until they fix the issue.Read less","Very quick, nice ride and very high safety rating",Oil usage and sits too low for tall drivers,https://www.kbb.com//audi/a4/2017/consumer-reviews/
240,Used 2017 Audi A4,NA,NA,NA,NA,NA,"Very quick, nice ride and very high safety rating",Oil usage and sits too low for tall drivers,https://www.kbb.com//audi/a4/2017/consumer-reviews/
241,Used 2017 Audi A4,Skapp,13,1,"""Better than the C, 3 and XE""","Ive owned many different luxury vehicles over the years. However, the A4 really blows me away with the immense amount of technology, comfort and safety features. 

After looking and driving the 2017 C class, BMW 3 series and Jaguar XE, there was no comparison. 

The C class felt cramped, the 3 series seemed boring and the build quality of the Jaguar was an embarrassment to the brand. 


Really love my A4 and cant wait to get another when my lease is up","Styling, value, tech, safety","Steering feel, acceleration lag",https://www.kbb.com//audi/a4/2017/consumer-reviews/
242,Used 2017 Audi A4,NA,NA,NA,NA,NA,"Styling, value, tech, safety","Steering feel, acceleration lag",https://www.kbb.com//audi/a4/2017/consumer-reviews/
243,Used 2017 Audi A4,ijlu,9,1,"""perfect bridge car""","Bought the new 2017 A4 Premium Plus as a bridge car before my next car, the model S. In love with the A4 so far - it's incredibly comfortable and the tech package is terrific.

Felt like a good value too, having done a ton of research on the 3 series and C class.","Comfortable ride, great tech",Little cramped in the back,https://www.kbb.com//audi/a4/2017/consumer-reviews/
244,Used 2017 Audi A4,NA,NA,NA,NA,NA,"Comfortable ride, great tech",Little cramped in the back,https://www.kbb.com//audi/a4/2017/consumer-reviews/
245,Used 2017 Audi A4,Nick,15,1,"""Great entry level sedan""","I purchased this vehicle shortly after it began shipping to the US. I am very pleased with it so far, only a few small cons. Overall, the exterior styling is traditional but sharp and the LED lights help to accent. Inside, the cabin is well appointed - especially on Premium Plus and Prestige models with the upgraded tech package. Performance is good - especially on Quattro models. Sometimes the transmission exhibits a slight hesitation when starting from a stop and occasionally between 1st and second, especially when in slow traffic for long durations. I personally like how the car can wear many hats - business/professional, daily driver, and sport driver. Plenty of space in the front seats - easy to accommodate very tall people. Decent rear seat space given the front seats are not all the way back. Trunk will hold several large boxes or the typical items and golf clubs. Fuel economy is as estimated - even a little better in light traffic and highway driving sometimes. While the EPA estimates for the Premium Plus 2.0 T model is 24/31 MPG, I can get 31 on an around town trip with light traffic. I have gotten as much as 39 MPG on flat interstates when traveling less than 75 MPH. The only other drawbacks are the steering can be a little light in terms of feedback and the cupholders are slightly too far forward under the dash to accommodate very large or tall drinks. Overall, considering price, appearance and efficiency - this car is definitely at the top of its class. While this car has broad appeal - it is definitely a car for young professionals, especially in business and technology fields.Read less","Appearance, fit & finish, technology","Cup holder placement, transmission hesitation",https://www.kbb.com//audi/a4/2017/consumer-reviews/
246,Used 2017 Audi A4,NA,NA,NA,NA,NA,"Appearance, fit & finish, technology","Cup holder placement, transmission hesitation",https://www.kbb.com//audi/a4/2017/consumer-reviews/
247,Used 2017 Audi A4,Steve,23,2,"""New Standard of Interior Design and Functionality""","I moved out of my larger 2015 Audi A6 to get in to the new technologies and design of the 2017 A4. My prior A6 now seems old and behind the times in regards to design. The 017 A4 is like a mobile business office and allows on to do a host of things with an Apple IPHONE due to seamless integration with software due to Audi Car Play. One can give voice commands for sending texts and the system is flawless in regards to taking voice to text for messages and all done without taking the hands off the steering wheel. The A4 in Prestige edition with the driving assistance package does not provide autonomous driving yet provides a host of safety features that enhance driving on both the highway and inner city. Performance is sport with nice steering input and road holding characteristics with a 4 liter that strains a bit yet surprisedly, almost meets the acceleration of my prior A6 (3.0 liter). I am impressed by mileage getting overall 28.4 mpg on all around driving and up to 35 mpg on strict highway driving cruising at 70 mph. I have the Quattro system and with winter tires the car performs exceptionally in all types of snow conditions. Fit and finish is top notch with excellent construction and a very ergonomically designed interior that is intuitive to operate. Probably one of the best entry, small luxury 4 door sedans that one can buy considering the technology that has been thrown into this vehicle. I have read reviews that exterior design is not evolving radically and quickly enough to please those whom think a new car design should be a radical departure from prior designs. This is simply the Audi way, yet one needs to know years down the line your vehicle will not look old or outdated. I think the exterior design is classic and refined.Read less","Technology beyond others in this segment, comfort","Small glove box, placement of cupholders",https://www.kbb.com//audi/a4/2017/consumer-reviews/
248,Used 2017 Audi A4,NA,NA,NA,NA,NA,"Technology beyond others in this segment, comfort","Small glove box, placement of cupholders",https://www.kbb.com//audi/a4/2017/consumer-reviews/
249,Used 2017 Audi A4,Fred,25,1,"""Early Owner Report""","I've had this car for a month, and I can find no flaw. It is simply awesome. Very comfortable, smooth and quiet on one end, and a joy to drive on the other, depending on what mode you choose.

It has a ton of tech, which is intimidating at first, but is soon found to be mostly intuitive, and none has malfunctioned.

Dealership experience was excellent. I did a LOT of research prior to buying this car. When they upgraded the 2017 model I was instantly down for the count, but it took a few months to pull the trigger.

My car is a heavily loaded Premium Plus, just shy of the Prestige at 49K. It's a lot of money for a car for me, but it's a lot of car for the money. I'm super impressed. Barring something unforeseen, I'll be passing this one to my wife in two years, and I'll lease a new Prestige.Read less",A wonderful driver's car.,No remote start.,https://www.kbb.com//audi/a4/2017/consumer-reviews/
250,Used 2017 Audi A4,NA,NA,NA,NA,NA,A wonderful driver's car.,No remote start.,https://www.kbb.com//audi/a4/2017/consumer-reviews/
251,Used 2017 Audi A4,Digiacomo,56,5,"""Exquisite balance of tech and comfort""","Audi has outdone itself with this car. As a former A4 owner (2011 model), I can honestly say that driving performance, use of tech and interior finishes have reached a new level for this model. The car's interior is simply exquisite, the driving performance has improved considerably with additional power, a dual clutch transmission and paddle shifters for a sporty experience, and the inclusion of state of the art driver assistance features make this car a pleasure to drive. Also gets credit for having cured some of the glaring omissions in previous models (such as the lack of Bluetooth streaming in the 2011 model). The only downside is that, at least my model, had an issue with the passenger mirror that the dealership took 4 visits to correct. Also, the Apple Carplay integration is flakey, but I can't honestly say whether it is an Apple problem or an issue on the Audi side. Notwithstanding these two items, I am extremely pleased with the vehicle and would recommend it confidently.Read less","Exquisite finishes, very polished, great tech.",Some tech can have issues.,https://www.kbb.com//audi/a4/2017/consumer-reviews/
252,Used 2017 Audi A4,NA,NA,NA,NA,NA,"Exquisite finishes, very polished, great tech.",Some tech can have issues.,https://www.kbb.com//audi/a4/2017/consumer-reviews/
253,Used 2018 Toyota Camry Hybrid,Jiffy,1,0,"""My favorite car ever""","In almost 40 years of driving, this is my favorite vehicle that I have ever owned. Has plenty of pep and handles great. I tend to dive fast and still get great gas mileage.",Everything,Nothing,https://www.kbb.com//toyota/camry-hybrid/2018/consumer-reviews/
254,Used 2018 Toyota Camry Hybrid,NA,NA,NA,NA,NA,Everything,Nothing,https://www.kbb.com//toyota/camry-hybrid/2018/consumer-reviews/
255,Used 2018 Toyota Camry Hybrid,CamBIRD,1,0,"""Exceptional ride, great gas mileage, dependable.""","This 2018 Camry SE is awesome.  It is sporty, fun to drive and comfortable.",Quiet and comfy ride.,No fog lights.,https://www.kbb.com//toyota/camry-hybrid/2018/consumer-reviews/
256,Used 2018 Toyota Camry Hybrid,NA,NA,NA,NA,NA,Quiet and comfy ride.,No fog lights.,https://www.kbb.com//toyota/camry-hybrid/2018/consumer-reviews/
257,Used 2018 Toyota Camry Hybrid,Joyce,1,7,"""Toyota vehicles are ridiculously too expensive""",The vehicle is way too expensive. Should be priced around $16-20k,Nice look,Too darn EXPENSIVE,https://www.kbb.com//toyota/camry-hybrid/2018/consumer-reviews/
258,Used 2018 Toyota Camry Hybrid,NA,NA,NA,NA,NA,Nice look,Too darn EXPENSIVE,https://www.kbb.com//toyota/camry-hybrid/2018/consumer-reviews/
259,Used 2018 Toyota Camry Hybrid,hybrid,0,1,"""not impressed""",While the outside is appealing to the eye the inside is cheaply constructed. The doors sound hollow when shutting. On the inside there isn't any space for stuff. Now I'm stranded after 2 month into a brand new 2020. I was unable to start the car. The lights started flickering and making a clicking sound. It was like it short circuited. I had a bit of a problem with road side assistance that comes with the warranty. They did get it started. The vehicle now says check engine and take to dealer. Not happy!,44 mpg,better cars out there for the mpg,https://www.kbb.com//toyota/camry-hybrid/2018/consumer-reviews/
260,Used 2018 Toyota Camry Hybrid,NA,NA,NA,NA,NA,44 mpg,better cars out there for the mpg,https://www.kbb.com//toyota/camry-hybrid/2018/consumer-reviews/
261,Used 2018 Toyota Camry Hybrid,carefreed,3,0,"""Lets Go Places""",Best car I've owned. It's got a lot of power while keeping excellent fuel economy. Love that I was able to get Apple CarPlay installed for free from the dealership. Can't wait to get this thing paid off so it'll be all mine! Also excited to put the Toyota reliability to the test.,"Quick, stylish (love the rear end), reliable","Minor cabin rattles, no heated seats",https://www.kbb.com//toyota/camry-hybrid/2018/consumer-reviews/
262,Used 2018 Toyota Camry Hybrid,NA,NA,NA,NA,NA,"Quick, stylish (love the rear end), reliable","Minor cabin rattles, no heated seats",https://www.kbb.com//toyota/camry-hybrid/2018/consumer-reviews/
263,Used 2018 Toyota Camry Hybrid,Ike,2,1,"""Car wouldn’t start""","I had this car for 2 weeks now... I didn’t drive for 2 days and when I went to start car, it was completely dead... called roadside, tech said batteries were fully charged, was touching things in engine bay then car just lit upand started, taking in for service tomorrow","Gas mileage, power, looks, comfort",Audio system,https://www.kbb.com//toyota/camry-hybrid/2018/consumer-reviews/
264,Used 2018 Toyota Camry Hybrid,NA,NA,NA,NA,NA,"Gas mileage, power, looks, comfort",Audio system,https://www.kbb.com//toyota/camry-hybrid/2018/consumer-reviews/
265,Used 2018 Toyota Camry Hybrid,Jen,3,6,"""worse vehicle ever!!""",,NA,NA,https://www.kbb.com//toyota/camry-hybrid/2018/consumer-reviews/
266,Used 2018 Toyota Camry Hybrid,Barry,4,2,"""2020 Camry LE not starting after left for a couple""",This has happened twice in 3 months. After a two or three day non-use the car will not start. Have to jumper and drive a little and it starts the next day but I do not drive it every day. Especially with the virus lockdown. Anyone else have this problem?,lLike the hybrid concept,Read my comment above.,https://www.kbb.com//toyota/camry-hybrid/2018/consumer-reviews/
267,Used 2018 Toyota Camry Hybrid,NA,NA,NA,NA,NA,lLike the hybrid concept,Read my comment above.,https://www.kbb.com//toyota/camry-hybrid/2018/consumer-reviews/
268,Used 2018 Toyota Camry Hybrid,Mr. Doesn’t Matter,1,0,"""IDKW ppl hate so much...""","Now, I’ve only had my Cam for 2 months but I drive it everyday. Gonna be honest, I don’t 100% care for the media system. It gets a little buggy with my cell.  But other than that it’s all good. My only real complaint is.....the XSE model makes me soooooo freakin envious.Get the X with the V6.....learn from my mistakes....lol. Oh, the Altima is nice but feels cheap & light weight. The Accord is probably the all around best of the 3 tho. Honestly","Looks, drive, gas mileage, trims,",Compared price to competitors,https://www.kbb.com//toyota/camry-hybrid/2018/consumer-reviews/
269,Used 2018 Toyota Camry Hybrid,NA,NA,NA,NA,NA,"Looks, drive, gas mileage, trims,",Compared price to competitors,https://www.kbb.com//toyota/camry-hybrid/2018/consumer-reviews/
270,Used 2018 Toyota Camry Hybrid,Lamont,4,4,"""Super Uncomfortable""",OMG I have only driven this car for one full day and the seats are extremely uncomfortable!!!! I bought the 2020 SE model and really want to love this car but driving it all day today left my manhood really uncomfortable as there just isnt enough space for anyone that isnt petite. Also hit my head twice on the lowered ceiling...ouch!!! I had a 2015 Camry thst was perfect on the inside this one is seriously more cramped!!!! Seem as if it was built for a child not an adult.,"gas mileage, zest, ride handling, stereo",Very uncomfortable driver seats,https://www.kbb.com//toyota/camry-hybrid/2018/consumer-reviews/
271,Used 2018 Toyota Camry Hybrid,NA,NA,NA,NA,NA,"gas mileage, zest, ride handling, stereo",Very uncomfortable driver seats,https://www.kbb.com//toyota/camry-hybrid/2018/consumer-reviews/
272,Used 2018 Toyota Camry Hybrid,pocketrockets,6,0,"""Better than I expected""",My car has the 4 cyl engine and it has plenty of power. It is the SE model and I love this car. Extremely comfortable and lots of standard equipment. I am getting 42 mpg on the freeways and 28 mpg in the city. The standard radio has 6 speakers and sounds as good as my Mazda with the Bose sound system.I highly recommend this car.,comfortable and fun to drive,,https://www.kbb.com//toyota/camry-hybrid/2018/consumer-reviews/
273,Used 2018 Toyota Camry Hybrid,NA,NA,NA,NA,NA,comfortable and fun to drive,,https://www.kbb.com//toyota/camry-hybrid/2018/consumer-reviews/
